plate	column	row	Gene
0	0	0	NA
0	0	1	AAK1
0	0	2	AXL
0	0	3	AATK|LOC651771|LOC651771
0	0	4	AZU1
0	0	5	CERK
0	0	6	BCKDK
0	0	7	RAPGEF4
0	0	8	BCR|LOC644165
0	0	9	CHEK1
0	0	10	BDKRB2
0	0	11	CHEK2
0	0	12	BLK
0	0	13	CHKA
0	0	14	BLNK
0	0	15	CPT1B|CHKB
0	0	16	BMP2K
0	0	17	CHRM1
0	0	18	BMPR1A|LOC643778|LOC643778|LOC643778|LOC283155|LOC283155
0	0	19	CHUK
0	0	20	BMPR1B
0	1	0	NA
0	1	1	PLK3
0	1	2	ERBB2
0	1	3	CNKSR1
0	1	4	ERBB3
0	1	5	COL4A3BP
0	1	6	ERBB4
0	1	7	COPB2
0	1	8	MAPK15
0	1	9	CRKRS
0	1	10	ERN1
0	1	11	CRKL
0	1	12	EVI1
0	1	13	CSF1R
0	1	14	FASTK
0	1	15	CSK
0	1	16	FER
0	1	17	CSNK1A1|CSNK1A1L
0	1	18	FES
0	1	19	CSNK1D
0	1	20	FGFR1
0	2	0	NA
0	2	1	CINP
0	2	2	BMPR2
0	2	3	CIT
0	2	4	BMX|LOC100133846
0	2	5	CKB
0	2	6	BRAF
0	2	7	CKM
0	2	8	BRD2
0	2	9	CKMT1B|CKMT1A|LOC100133623|LOC731391|LOC649970
0	2	10	BRDT
0	2	11	CKMT2
0	2	12	BTK
0	2	13	CKS1B|LOC652904|LOC392437|LOC729964|LOC729964|LOC729964
0	2	14	BUB1
0	2	15	CKS2
0	2	16	BUB1B
0	2	17	CLK1
0	2	18	TSSK4
0	2	19	CLK2
0	2	20	TP53RK
0	3	0	NA
0	3	1	CSNK1E
0	3	2	FGFR2
0	3	3	CSNK1G1
0	3	4	FGFR3
0	3	5	CSNK1G2
0	3	6	FGFR4
0	3	7	CSNK1G3
0	3	8	FGR
0	3	9	CSNK2A1|CSNK2A1P
0	3	10	SCYL2|LOC729191|LOC729191|LOC729191
0	3	11	CSNK2A2
0	3	12	ETNK2
0	3	13	CSNK2B
0	3	14	AGK
0	3	15	CXCL10
0	3	16	RFK
0	3	17	DAPK1
0	3	18	IQCH
0	3	19	DAPK2
0	3	20	NADK
0	4	0	NA
0	4	1	CLK3
0	4	2	TRIB3
0	4	3	CLK4
0	4	4	C6orf199
0	4	5	ABL1
0	4	6	C7orf16
0	4	7	ABL2
0	4	8	TRIB1
0	4	9	TNK2
0	4	10	IPPK
0	4	11	ACVR1
0	4	12	CALM3
0	4	13	ACVR1B
0	4	14	CAMK1
0	4	15	ACVR2A
0	4	16	CAMK1D
0	4	17	ACVR2B
0	4	18	CAMK1G
0	4	19	ACVRL1
0	4	20	CAMK2A
0	5	0	NA
0	5	1	DAPK3
0	5	2	MASTL
0	5	3	DCLK1|LOC100133851
0	5	4	ULK4
0	5	5	DCK
0	5	6	THNSL1
0	5	7	DDR1
0	5	8	YSK4
0	5	9	DDR2
0	5	10	LRRK1
0	5	11	DGKA
0	5	12	FLJ23356
0	5	13	DGKB
0	5	14	FLJ25006
0	5	15	DGKD
0	5	16	NEK10
0	5	17	DGKE
0	5	18	C9orf98
0	5	19	DGKG
0	5	20	MLKL
0	6	0	NA
0	6	1	ADAM9
0	6	2	CAMK2B
0	6	3	ADCK1
0	6	4	CAMK2D
0	6	5	ADCK2
0	6	6	CAMK2G
0	6	7	ADCK4
0	6	8	CAMK4
0	6	9	ADCK5
0	6	10	CAMKK1
0	6	11	ADK
0	6	12	CAMKK2
0	6	13	ADRA1A
0	6	14	CARD10
0	6	15	ADRA1B
0	6	16	CARD14
0	6	17	ADRB2
0	6	18	TNNI3K
0	6	19	ADRBK1
0	6	20	SHPK
0	7	0	NA
0	7	1	DGKI
0	7	2	TPRXL
0	7	3	DGKQ
0	7	4	FLT1
0	7	5	DGKZ
0	7	6	FLT3
0	7	7	DGUOK
0	7	8	FLT4
0	7	9	ULK3
0	7	10	FN3K
0	7	11	EPHA6
0	7	12	FN3KRP
0	7	13	DAK
0	7	14	FRAP1
0	7	15	PRAGMIN
0	7	16	FXN
0	7	17	STYK1
0	7	18	FRK
0	7	19	DLG1
0	7	20	FUK
0	8	0	NA
0	8	1	ADRBK2
0	8	2	CASK
0	8	3	AGTR2
0	8	4	CCL2
0	8	5	AK1
0	8	6	CCL4L2|LOC728835|CCL4L1|CCL4
