384plate	384well	96plate	96well	POOLID	siRNAIDs	OriginalGeneTarget	OriginalGeneIDTarget	OriginalRefSeqTarget	OriginalLocusLinkTarget	CalculatedGeneTarget	CalculatedGeneIDTarget	CalculatedRefSeqTarget	CalculatedRefSeqHits
1	A01	1	A01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	A02	2	A01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	A03	1	A02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	A04	2	A02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	A05	1	A03	M-005300-00	D-005300-01&D-005300-02&D-005300-03&D-005300-04	AAK1	22848	NM_014911	29570779	AAK1	22848	NM_014911	4
1	A06	2	A03	M-003104-02	D-003104-06&D-003104-07&D-003104-08&D-003104-09	AXL	558	NM_001699	21536467	AXL	558	NM_021913+NM_001699	4+4
1	A07	1	A04	M-005301-01	D-005301-02&D-005301-03&D-005301-04&D-005301-05	AATK	9625	XM_375495	42661274	AATK&LOC651771&LOC651771	9625&651771&LOC651771	NM_001080395&XM_940993&XM_001720746	4&4&2
1	A08	2	A04	M-008914-00	D-008914-01&D-008914-02&D-008914-03&D-008914-04	AZU1	566	NM_001700	28416954	AZU1	566	NM_001700	4
1	A09	1	A05	M-004061-00	D-004061-01&D-004061-02&D-004061-03&D-004061-04	CERK	64781	NM_022766	32967301	CERK	64781	NM_022766	4
1	A10	2	A05	M-004932-00	D-004932-01&D-004932-02&D-004932-03&D-004932-04	BCKDK	10295	NM_005881	5031608	BCKDK	10295	NM_005881	4
1	A11	1	A06	M-009511-00	D-009511-01&D-009511-02&D-009511-03&D-009511-04	RAPGEF4	11069	NM_007023	5901913	RAPGEF4	11069	NM_001100397+NM_007023	4+4
1	A12	2	A06	M-003875-04	D-003875-02&D-003875-03&D-003875-06&D-003875-13	BCR	613	NM_004327	11038638	BCR&LOC644165	613&644165	NM_004327+NM_021574&XM_933701	4+4&1
1	A13	1	A07	M-003255-02	D-003255-06&D-003255-07&D-003255-08&D-003255-09	CHEK1	1111	NM_001274	20127419	CHEK1	1111	NM_001274	4
1	A14	2	A07	M-005436-00	D-005436-01&D-005436-02&D-005436-03&D-005436-04	BDKRB2	624	NM_000623	17352499	BDKRB2	624	NM_000623	4
1	A15	1	A08	M-003256-05	D-003256-05&D-003256-13&D-003256-14&D-003256-15	CHEK2	11200	NM_007194	22209010	CHEK2	11200	NM_001005735+NM_145862+NM_007194	4+4+4
1	A16	2	A08	M-003105-03	D-003105-07&D-003105-08&D-003105-09&D-003105-10	BLK	640	NM_001715	33469981	BLK	640	NM_001715	4
1	A17	1	A09	M-006704-00	D-006704-01&D-006704-02&D-006704-03&D-006704-04	CHKA	1119	NM_001277	4557454	CHKA	1119	NM_001277+NM_212469	4+3
1	A18	2	A09	M-020353-01	D-020353-01&D-020353-02&D-020353-04&D-020353-05	BLNK	29760	NM_013314	40353774	BLNK	29760	NM_013314	4
1	A19	1	A10	M-006705-00	D-006705-01&D-006705-02&D-006705-03&D-006705-04	CHKB	1120	NM_005198	23238259	CPT1B&CHKB	1375&1120	NM_152247+NM_004377+NM_152245+NM_152246&NM_005198+NM_152253	4+0+0+0&4+4
